total_lines,num_functions,num_classes,num_imports,avg_func_length,max_func_length,avg_complexity,max_complexity,high_complexity_fns,maintainability,lines_per_function,num_nodes,num_edges,avg_degree,max_degree,graph_density,avg_shortest_path,clustering_coeff,deep_nesting_count,is_buggy,source,path
2167,88,8,45,19.375,106,4.04,21,7,0.0,24.625,94,170,3.617,44,0.0194,3.03,0.311,2,1,pytest,src/_pytest/config/__init__.py
578,30,8,11,14.666666666666666,80,3.55,17,1,37.79,19.266666666666666,30,54,3.6,11,0.0621,2.743,0.152,0,1,pytest,src/_pytest/config/argparsing.py
302,13,2,12,14.23076923076923,39,3.33,7,0,58.45,23.23076923076923,15,12,1.6,3,0.0571,2.311,0.0,0,1,pytest,src/_pytest/mark/__init__.py
436,18,2,15,18.944444444444443,70,3.2,8,0,52.31,24.22222222222222,19,27,2.842,13,0.0789,2.485,0.54,2,1,pytest,src/_pytest/monkeypatch.py
91,1,0,3,2.0,2,2.0,2,0,100.0,91.0,2,0,0.0,0,0.0,0.0,0.0,0,1,pytest,src/_pytest/deprecated.py
416,18,2,13,17.944444444444443,70,2.95,8,0,53.98,23.11111111111111,19,27,2.842,13,0.0789,2.485,0.54,2,1,pytest,src/_pytest/monkeypatch.py
473,37,9,17,9.0,34,2.72,7,0,27.75,12.783783783783784,43,20,0.93,9,0.0111,2.716,0.0,0,1,pytest,testing/test_monkeypatch.py
91,1,0,3,2.0,2,2.0,2,0,100.0,91.0,2,0,0.0,0,0.0,0.0,0.0,0,1,pytest,src/_pytest/deprecated.py
416,18,2,13,17.944444444444443,70,2.95,8,0,53.98,23.11111111111111,19,27,2.842,13,0.0789,2.485,0.54,2,1,pytest,src/_pytest/monkeypatch.py
473,37,9,17,9.0,34,2.72,7,0,27.75,12.783783783783784,43,20,0.93,9,0.0111,2.716,0.0,0,1,pytest,testing/test_monkeypatch.py
1642,97,4,29,14.422680412371134,150,4.02,22,5,0.0,16.927835051546392,100,222,4.44,73,0.0224,2.491,0.373,0,1,pytest,src/_pytest/terminal.py
3275,162,24,16,16.290123456790123,88,1.92,16,4,0.0,20.21604938271605,182,166,1.824,26,0.005,3.476,0.069,0,1,pytest,testing/test_terminal.py
114,6,0,12,13.833333333333334,22,3.0,6,0,65.21,19.0,7,2,0.571,2,0.0476,1.333,0.0,0,1,pytest,src/_pytest/pastebin.py
406,34,8,10,9.911764705882353,41,1.79,9,0,44.63,11.941176470588236,42,51,2.429,28,0.0296,2.522,0.0,0,1,pytest,testing/python/raises.py
1432,74,5,7,17.27027027027027,90,2.92,11,1,5.51,19.35135135135135,73,105,2.877,42,0.02,2.666,0.344,1,1,pytest,testing/test_debugging.py
359,32,1,13,8.625,55,3.41,9,0,25.83,11.21875,34,30,1.765,30,0.0267,1.935,0.0,0,1,pytest,testing/test_parseopt.py
189,18,4,8,9.555555555555555,26,2.57,8,0,49.93,10.5,19,19,2.0,9,0.0556,2.725,0.0,0,1,pytest,testing/test_pastebin.py
386,13,1,8,24.692307692307693,35,1.92,2,0,53.45,29.692307692307693,15,5,0.667,4,0.0238,1.6,0.0,0,1,pytest,testing/test_unraisableexception.py
